Money(raw),Sum,Total Funding in GBP,Funding in GBP,Funding in EUR,Funding in USD,Currencies,Economic Benefit,SpinOff,KTP,Countries,Collaborations,Merge,Acquisition,IndustrialUse,AcademicUse,GovUse,PublicUse,Open Source,Policy Influence,Standard,Public Well Being,Public Service Delivery,Improved accessibility,Improved Workforce,Economic impacts,Changed public attitudes,Solutions to societal problems,Improved Env. Sustainability,Improved regulatory environment,Public Engagement,Patent,Award,Clinical Trial,People Affected,ref 1,ref 2,ref 3,ref 4,ref 5,ref 6,ref7,Reference Cite,r1,r2,r3,r4,r5,r6,Citation_2014,CitationChange,StartYears,Duration,ImpactType Cultural,ImpactType Economic,ImpactType Environmental,ImpactType Health,ImpactType Legal,ImpactType Political,ImpactType Societal,ImpactType Technological,Uni_Outputs,Funders,NumOfCases,Research Income,Degree,FTE,2008GPA,Percentageof4(Overall),GPA(Overall),ResearchPower(Overall),Percentageof4(Output),GPA(Output),Percentageof4(Impact),GPA(Impact),Score,Score_4,Score_9,Score_9s,Discrete Variance
15708000,13900000,12000000,12000000,0,0,1,1900000,0,0,,0,0,0,19,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2234,918,289,59,305,16,0,3821,0,0,0,0,0,0,0,3821,1994,20,0,0,0,0,0,0,1,0,109,5,4,18821185,80.33,30.5,2.75,47,3.39,103,32,3.19,70,3.7,3.7,4,3.5,7,0.21
7753350,6500000,6500000,6500000,0,0,1,0,2,0,,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,366,20,19,14,18,0,0,437,0,0,0,0,0,0,0,437,2001,13,0,0,0,0,0,0,0,1,109,3,4,18821185,80.33,30.5,2.75,47,3.39,103,32,3.19,70,3.7,3.7,4,3.5,7,0.21
0,0,0,0,0,0,0,0,0,0,,8,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,90000000,13,2,23,166,43,74,0,321,0,0,0,0,0,0,0,321,1998,16,0,0,0,0,0,0,1,0,109,1,4,18821185,80.33,30.5,2.75,47,3.39,103,32,3.19,70,3.7,3.7,4,3.5,7,0.21
0,1798335,856350,856350,0,0,1,941985,1,0,,5,0,0,10,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,120,39,24,33,79,36,0,331,0,0,0,0,0,0,0,331,2004,10,0,0,0,0,0,0,0,1,109,1,4,18821185,80.33,30.5,2.75,47,3.39,103,32,3.19,70,3.7,3.7,4,3.5,7,0.21
4397172,6617133,2617133,397172,2730553,0,2,4000000,0,0,,2,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,10,100,291,0,0,0,405,0,0,0,0,0,0,0,405,1995,19,0,0,0,0,0,0,0,1,104,1,1,3053503,99,24.7,2.4,9,2.63,65,14,2.61,0,2.67,2.67,3,2.5,5,0.22
0,145356,145356,145356,0,0,1,0,1,1,,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2379,338,200,7,4,0,0,2928,0,0,0,0,0,0,0,2928,2002,12,0,0,0,0,0,0,0,1,104,1,1,3053503,99,24.7,2.4,9,2.63,65,14,2.61,0,2.67,2.67,3,2.5,5,0.22
641000000,641000000,1000000,1000000,0,0,1,640000000,0,0,,10,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1094,28,97,294,530,0,0,2043,0,0,0,0,0,0,0,2043,2001,13,0,0,0,0,0,1,0,0,184,1,6,23009358,130,54.6,3.35,48,3.36,183,37,3.19,87,3.87,3.87,4,4,8,0.12
18000000,24000000,0,0,0,0,0,24000000,1,0,,3,0,1,4,0,1,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,150,78,256,883,104,127,0,1598,0,0,0,0,0,0,0,1598,2002,12,0,1,0,0,0,0,0,0,184,1,6,23009358,130,54.6,3.35,48,3.36,183,37,3.19,87,3.87,3.87,4,4,8,0.12
425457844,263615738,457844,457844,0,0,1,263157894,1,0,,7,0,1,13,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,134,56,9204,3943,225,235,0,13797,0,0,0,0,0,0,0,13797,1999,15,0,0,0,0,0,0,0,1,184,1,6,23009358,130,54.6,3.35,48,3.36,183,37,3.19,87,3.87,3.87,4,4,8,0.12
0,0,0,0,0,0,0,0,1,0,,3,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3000000,1565,116,3,9,5,33,0,1731,0,0,0,0,0,0,0,1731,1994,20,0,0,0,0,0,0,0,1,184,2,6,23009358,130,54.6,3.35,48,3.36,183,37,3.19,87,3.87,3.87,4,4,8,0.12
73400000,39400000,0,9700000,0,0,0,39400000,1,0,,3,0,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,887,34,2071,741,2313,0,0,6046,0,0,0,0,0,0,0,6046,1999,15,0,0,0,0,0,0,0,1,184,0,6,23009358,130,54.6,3.35,48,3.36,183,37,3.19,87,3.87,3.87,4,4,8,0.12
0,0,0,0,0,0,0,0,0,0,,5,0,1,32,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,3,0,400000000,4532,1262,603,1219,152,0,0,7768,0,0,0,0,0,0,0,7768,1993,21,0,0,0,0,0,0,0,1,184,0,6,23009358,130,54.6,3.35,48,3.36,183,37,3.19,87,3.87,3.87,4,4,8,0.12
1124036,1124036,124036,124036,0,0,1,1000000,0,1,,2,0,0,0,0,2,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,3,0,0,695,91,11,596,222,446,0,2061,0,0,0,0,0,0,0,2061,1998,16,0,0,0,1,0,0,0,0,42,1,2,929370,31,13,1.9,20,2.81,37,19,2.74,40,3.4,3.4,3,3.5,7,0.24
1180200,1174700,924700,924700,0,0,1,250000,1,1,,2,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,1500,44,30,17,40,9,31,0,171,0,0,0,0,0,0,0,171,1999,15,0,0,0,0,0,0,0,1,42,1,2,929370,31,13,1.9,20,2.81,37,19,2.74,40,3.4,3.4,3,3.5,7,0.24
3094000,3069368,3069368,3058000,0,21600,2,0,0,0,,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,24,5,38,31,161,27,0,286,0,0,0,0,0,0,0,286,2011,3,0,0,0,0,0,0,0,1,37,0,2,217229,7,12,0,4,1.91,23,5,2.35,0,1,1,1,1,2,0
184500,184000,184000,184000,0,0,1,0,0,1,,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,26,83,11,20,12,9,0,161,0,0,0,0,0,0,0,161,2003,11,0,0,0,0,0,0,0,1,37,1,2,217229,7,12,0,4,1.91,23,5,2.35,0,1,1,1,1,2,0
5041000,4453000,4453000,4453000,0,0,1,0,0,0,,7,0,1,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,378,395,269,301,294,586,0,2223,0,0,0,0,0,0,0,2223,1999,15,0,0,0,0,0,0,0,1,83,2,1,16124601,63,30.5,0,39,3.29,100,33,3.18,50,3.5,3.5,4,3.5,7,0.25
4567446,4022836,4022836,4022836,0,0,1,0,0,0,,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,103,27,42,12,17,0,0,201,0,0,0,0,0,0,0,201,2003,11,0,0,0,0,0,0,1,0,49,1,2,2886774,41,13,0,1,2.33,30,2,2.14,0,2.9,2.9,3,3,6,0.09
86000,1595560,1595560,0,1918000,68800,2,0,0,0,,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,84,121,50,119,10,0,395,0,0,0,0,0,0,0,395,2005,9,1,0,0,0,0,0,0,0,49,1,2,2886774,41,13,0,1,2.33,30,2,2.14,0,2.9,2.9,3,3,6,0.09
0,2317819,184819,184819,0,0,1,2133000,1,0,,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,5,12,0,0,0,0,17,0,0,0,0,0,0,0,17,1999,15,0,0,0,0,0,0,0,1,146,2,5,14830977,72.58,41.6,3.1,36,3.18,132,23,2.96,68,3.68,3.68,4,3.5,7,0.22
0,0,0,0,0,0,0,0,0,0,,2,0,0,4,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,100000000,15,0,18,8,13,10,0,64,0,0,0,0,0,0,0,64,2003,11,0,0,0,0,0,0,0,1,146,2,5,14830977,72.58,41.6,3.1,36,3.18,132,23,2.96,68,3.68,3.68,4,3.5,7,0.22
555000,555000,555000,555000,0,0,1,0,0,0,,2,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,13600,130,263,43,83,30,33,0,582,0,0,0,0,0,0,0,582,2001,13,0,0,0,0,0,0,1,0,146,2,5,14830977,72.58,41.6,3.1,36,3.18,132,23,2.96,68,3.68,3.68,4,3.5,7,0.22
200000002,81300813,81300813,0,100000000,0,1,0,0,0,,3,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,8000000,0,16,2,14,41,20,10,103,0,0,0,0,0,0,0,103,1997,17,0,0,0,0,0,1,0,0,146,0,5,14830977,72.58,41.6,3.1,36,3.18,132,23,2.96,68,3.68,3.68,4,3.5,7,0.22
16855000,16615000,615000,615000,0,0,1,16000000,0,0,,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,67,58,80,0,0,0,0,0,138,0,0,0,0,0,0,0,138,2007,7,0,0,0,1,0,0,0,0,146,2,5,14830977,72.58,41.6,3.1,36,3.18,132,23,2.96,68,3.68,3.68,4,3.5,7,0.22
400360,15760000,760000,760000,0,0,1,15000000,1,0,,2,0,1,4,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,184,25,4,0,0,0,0,213,0,0,0,0,0,0,0,213,1995,19,0,0,0,0,0,0,0,1,100,1,4,18944251,63.86,27.5,2.9,46,3.33,92,25,3.05,90,3.9,3.9,4,4,8,0.09
201031541,93731540,1031540,1031540,0,0,1,92700000,1,1,,4,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,7,0,2,17,77,3,4,5,0,0,0,89,0,0,0,0,0,0,0,89,2002,12,0,0,0,0,0,0,0,1,100,2,4,18944251,63.86,27.5,2.9,46,3.33,92,25,3.05,90,3.9,3.9,4,4,8,0.09
